Item Name,Item URL,Item Price,Rating,Number of Reviews
"SACCI MUCCI Women's Rainbow Sling Bag, Handmade Bags for Females - 100% Vegan Leather and Coated Duck canvas Fabric, Lightweight and Durable",https://www.amazon.in/SACCI-MUCCI-Allamanda-Lightweight-SM1-10_magnolia/dp/B09TDNZ88Z/ref=sr_1_116?crid=2M096C61O4MLT&keywords=bags&qid=1685030911&sprefix=ba%2Caps%2C283&sr=8-116,499,4.2 out of 5 stars,786
Asus BP1504 39.62 cm (15.6-inch) Laptop Backpack (Dark Grey),https://www.amazon.in/Asus-BP1504-15-6-inch-Laptop-Backpack/dp/B0895ZZHKK/ref=sr_1_117?crid=2M096C61O4MLT&keywords=bags&qid=1685030911&sprefix=ba%2Caps%2C283&sr=8-117,N/A,4.2 out of 5 stars,"1,624"
DZert Clasy Laptop Bag College Bag for Boys Girls 21 L Blue White,https://www.amazon.in/DZert-School-Polyester-Backpack-White/dp/B07GXYHFCY/ref=sr_1_118?crid=2M096C61O4MLT&keywords=bags&qid=1685030911&sprefix=ba%2Caps%2C283&sr=8-118,299,3.8 out of 5 stars,"2,401"
"TRUE HUMAN® Emperor Anti-Theft backpack with combination lock Laptop bag,office bag for Men and Women | College Bags for Girls & Boys (Zyden)",https://www.amazon.in/TRUE-HUMAN-Anti-Theft-backpack-combination/dp/B09VCHV6T5/ref=sr_1_119?crid=2M096C61O4MLT&keywords=bags&qid=1685030911&sprefix=ba%2Caps%2C283&sr=8-119,649,3.7 out of 5 stars,"1,128"
DZert Clasy Laptop Bag College Bag for Boys Girls 21 L Nevy Blue,https://www.amazon.in/DZert-Girls-Polyester-White-Backpack/dp/B07H1BPCGQ/ref=sr_1_120?crid=2M096C61O4MLT&keywords=bags&qid=1685030911&sprefix=ba%2Caps%2C283&sr=8-120,339,3.8 out of 5 stars,"2,401"
"Vivinkaa Sling Bag for Women, Bags for Women, Sling Bag, Purse for Women, Sling Bag for Women Stylish, Sling Bag for Girls, Women Sling Bag, Bag for Girls - Indigo",https://www.amazon.in/Vivinkaa-Womens-Sling-Bag-Blue/dp/B077WSKG53/ref=sr_1_121?crid=2M096C61O4MLT&keywords=bags&qid=1685030911&sprefix=ba%2Caps%2C283&sr=8-121,549,3.8 out of 5 stars,"1,899"
TRUE HUMAN Anti-Theft and USB charging port backpack with security lock Laptop bag|office bag| for men and women (Grey),https://www.amazon.in/TRUE-HUMAN-Anti-Theft-charging-combination/dp/B09H7PK5ML/ref=sr_1_122?crid=2M096C61O4MLT&keywords=bags&qid=1685030911&sprefix=ba%2Caps%2C283&sr=8-122,585,3.8 out of 5 stars,"1,779"
"POLESTAR Leader 34 L Bag for College, School, Office, Casual Multipurpose Backpack with 15.6"" Laptop Compartment, Water Resistant, Unisex Design, Stylish & Durable, 1 Year Warranty",https://www.amazon.in/POLESTAR-backpack-Backpack-College-Students/dp/B08X2KRL8B/ref=sr_1_123?crid=2M096C61O4MLT&keywords=bags&qid=1685030911&sprefix=ba%2Caps%2C283&sr=8-123,599,4.1 out of 5 stars,"3,485"
American Tourister SPIN LAPTOP BACKPACK 28L POLYESTER TEAL,https://www.amazon.in/American-Tourister-LAPTOP-BACKPACK-POLYESTER/dp/B0BLCC945Z/ref=sr_1_124?crid=2M096C61O4MLT&keywords=bags&qid=1685030911&sprefix=ba%2Caps%2C283&sr=8-124,"1,399",4.1 out of 5 stars,18
LOOKMUSTER Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack…,https://www.amazon.in/LOOKMUSTER-Waterproof-Backpack-College-Business/dp/B0BS6YGKMC/ref=sr_1_125?crid=2M096C61O4MLT&keywords=bags&qid=1685030911&sprefix=ba%2Caps%2C283&sr=8-125,598,3.9 out of 5 stars,26
